discord_username,osu_username,initial_pp,current_pp,pp_change,global_rank,id,percentage_change,ii
ilovewalterwhite,NotPole,2821,2821,0,300522,1,0.0,1.58
taichi1717,Solar_Taichi,3121,3077,-44,255890,3,-1.41,0.92
_mirelight,somebody_home,212,212,0,1628842,13,0.0,
richard_riderr,Slowpoke1360,1955,1924,-31,485466,2,-1.59,1.25
