discord_username,osu_username,initial_pp,current_pp,pp_change,global_rank,id,percentage_change,ii
miinr,miinr,13752,13752,0,924,3,0.0,2.57
boybeef,EthantrixV3,13517,13517,0,1062,2,0.0,1.28
onlyhadley,OnlyHadley,20741,20740,-1,41,1,0.0,3.21
