discord_username,osu_username,initial_pp,current_pp,pp_change,global_rank,id,percentage_change,ii
bowiepro,bowiepro,9936,9936.0,0.0,6577.0,3,0.0,1.46
sillierkel,Floofies,11049,10888.0,-161.0,3675.0,2,-1.46,6.49
rosedive,rockhard,9431,9418.0,-13.0,8502.0,1,-0.14,0.86
johwn,- mimic -,9649,,,,6,,
