discord_username,osu_username,initial_pp,current_pp,pp_change,global_rank,id,percentage_change,ii
levelthreechin,_TheEmptyOne_,13280,13280.0,0.0,1198.0,1,0.0,2.27
_darnix,Darnix,10765,10736.0,-29.0,4197.0,2,-0.27,
zaguh,zaguh,13597,13597.0,0.0,1013.0,3,0.0,
deadwifi,deadwifi13,10496,,,,4,,
