discord_username,osu_username,initial_pp,current_pp,pp_change,global_rank,id,percentage_change,ii
wutever,Wutever,8740,8740,0,12397,5,0.0,0.37
am1x,Am1x,8016,8016,0,18229,4,0.0,0.98
nunk7,nunk7,8213,8210,-3,16401,1,-0.04,2.01
inklyned,InkLyned,8567,8567,0,13551,3,0.0,2.69
mrcursed,DZHEYLO,8005,8005,0,18339,7,0.0,1.05
zacfrfr,zacfr,8317,8317,0,15506,2,0.0,2.56
